strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,-0.0252,-2.09,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,0.0313,1.96,0.016
best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,-0.0492,-0.47,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,50,0.6252,-3.1,inf
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,100,0.5419,2.19,0.2477
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,200,0.682,0.78,0.8783
best1bin,SMCO_R_vs_SMCO_R_EVO,Zakharov,500,0.2303,-3.7,inf
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,-0.0285,9.59,-0.003
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,0.0605,-0.8,inf
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,0.0013,-0.32,inf
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,0.002,-2.76,inf
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,-0.0026,4.23,-0.0006
